Entry Date,ID,Exit Date,Pages Viewed,Conversion
2015-01-01 14:02:02,4620864431353617408,2015-01-01 12:05:13,7,No
2015-01-01 12:01:00,3365479180556158976,2015-01-01 12:02:01,1,No
2015-01-01 12:01:00,5239785226806161408,2015-01-01 12:05:19,10,No
2015-01-01 12:01:00,8530398223564990464,2015-01-01 12:06:30,3,No
2015-01-01 12:04:10,3995939483821936645,2015-01-01 12:04:03,1,No
2015-01-01 12:05:11,5694894591373382656,2015-01-01 12:05:48,4,No
2015-01-01 12:06:13,4350042328721430528,2015-01-01 12:05:20,4,Yes
2015-01-01 12:07:13,4350042328721430528,2015-01-01 12:09:50,10,No
2015-01-01 12:08:14,4029628267337302016,2015-01-01 12:07:31,7,No
2015-01-01 13:00:18,4029628267337302016,2015-01-01 14:06:13,15,Yes